Label Area Mean StdDev Min Max Perim. IntDen Median %Area RawIntDen
15-12a_SD_M2_04.tif 7516 120.2 27.54 34 255 475.7 903100 120 0 3399000 
15-12a_SD_M2_04.tif 106.3 104 37.13 41 255 37.25 11050 92 0 41590 
15-12a_SD_M2_04.tif 7376 122.4 31.81 31 255 377.8 902700 123 0 3398000 
15-12a_SD_M2_04.tif 164.7 98.39 43.21 32 255 46.15 16210 86 0 61000 
15-12a_SD_M2_04.tif 96.72 105.8 29.1 44 179 34.82 10230 107 0 38500 
15-12a_SD_M2_04.tif 7994 128.5 32.09 32 255 391.1 1027000 127 0 3866000 
15-12a_SD_M2_04.tif 125.4 117.2 27.43 51 255 39.67 14700 117 0 55320 
15-12a_SD_M2_04.tif 45.7 88.88 18.46 53 126 24.29 4062 88 0 15290 
15-12a_SD_M2_05.tif 5691 125.6 30.69 35 245 370 714600 126 0 2689000 
15-12a_SD_M2_05.tif 94.06 86.41 24.53 41 143 36.44 8128 85 0 30590 
15-12a_SD_M2_05.tif 96.72 101.1 27.56 47 174 35.63 9777 100 0 36800 
15-12a_SD_M2_05.tif 69.08 91.93 23.32 46 148 30.77 6351 89 0 23900 
15-12a_SD_M2_05.tif 5495 125.4 29.79 30 255 344.3 689200 125 0 2594000 
15-12a_SD_M2_05.tif 5450 117.3 26.65 38 255 336.2 639400 117 0 2406000 
15-12a_SD_M2_05.tif 55 94.57 31 48 182 25.91 5201 91 0 19580 
15-12a_SD_M2_05.tif 51.01 90.73 26.58 51 197 25.91 4629 86 0 17420 
15-12a_SD_M2_05.tif 6943 120.7 29.63 35 255 367.6 838400 120 0 3155000 
15-12a_SD_M2_05.tif 62.71 91.12 43.2 42 255 28.34 5714 81 0 21510 
15-12a_SD_M2_05.tif 7591 130 29.76 39 255 456.7 986700 129 0 3713000 
15-12a_SD_M2_05.tif 6841 135.7 33 39 255 395.8 928100 134 0 3493000 
15-12a_SD_M2_05.tif 57.39 80.74 21.89 42 154 26.72 4634 74 0 17440 
15-12a_SD_M2_05.tif 45.7 84.37 27.27 49 168 25.1 3856 74 0 14510 
15-12a_SD_M2_05.tif 6403 139.2 35.87 39 255 385 891100 135 0 3354000 
15-12a_SD_M2_05.tif 59.52 97.13 23.36 55 160 27.53 5781 94 0 21760 
15-12a_SD_M3_03.tif 8948 128.5 26.99 37 255 438.5 1149000 127 0 4326000 
15-12a_SD_M3_03.tif 62.71 102.7 23.5 56 155 28.34 6439 101 0 24230 
15-12a_SD_M3_03.tif 63.77 101.3 31.84 49 255 29.96 6457 97 0 24300 
15-12a_SD_M3_03.tif 90.87 111.2 26.53 51 170 36.44 10100 113 0 38020 
15-12a_SD_M3_03.tif 135 90.44 33.6 37 255 48.58 12210 88 0 45950 
15-12a_SD_M3_03.tif 93.53 99.78 16.67 53 144 39.67 9333 100 0 35120 
15-12a_SD_M3_03.tif 63.77 98.33 22.38 48 180 32.39 6270 96 0 23600 
15-12a_SD_M3_03.tif 11260 130.7 25.65 31 244 457 1472000 130 0 5541000 
15-12a_SD_M3_03.tif 59.52 104.6 32.44 55 172 27.53 6227 98 0 23440 
15-12a_SD_M3_03.tif 65.89 107.4 42.77 50 255 29.15 7080 98 0 26650 
15-12a_SD_M3_03.tif 79.18 73.26 25.62 34 172 31.58 5800 67 0 21830 
15-12a_SD_M3_03.tif 121.2 109.4 30.22 54 174 40.48 13260 114 0 49900 
15-12a_SD_M3_03.tif 47.83 113.6 20.57 57 162 25.1 5433 118 0 20450 
15-12a_SD_M3_03.tif 99.9 90.77 28.1 31 156 37.25 9069 89 0 34130 
15-12a_SD_M3_03.tif 39.06 98.99 27.72 36 181 22.67 3867 101 0 14550 
15-12a_SD_M3_03.tif 62.71 99.21 31.95 46 182 28.34 6221 88 0 23410 
15-12a_SD_M3_03.tif 109.7 94.06 29.73 35 171 37.25 10320 86 0 38850 
15-12a_SD_M3_03.tif 67.75 113 42.85 35 255 29.15 7657 105 0 28820 
15-12a_SD_M3_03.tif 9333 141 27.88 32 255 423.8 1316000 140 0 4952000 
15-12a_SD_M3_03.tif 121.2 114.4 33.49 53 239 40.48 13860 111 0 52180 
15-12a_SD_M3_03.tif 68.02 114.2 22.05 55 163 31.58 7770 118 0 29250 
15-12a_SD_M3_03.tif 79.71 107 34.78 48 194 31.58 8532 102 0 32110 
15-12a_SD_M3_03.tif 72.8 116.1 30.03 62 182 29.96 8453 116 0 31820 
15-12a_SD_M3_03.tif 91.93 122.6 24.08 64 167 34.82 11270 125 0 42420 
15-12a_SD_M3_03.tif 71.21 105.5 21.47 56 166 29.96 7511 105 0 28270 
15-12a_SD_M3_03.tif 63.24 121.9 27.41 54 188 28.34 7709 125 0 29020 
15-12a_SD_M3_03.tif 94.59 100.6 26.6 50 175 35.63 9514 97 0 35810 
15-12a_SD_M3_03.tif 14290 135.6 28.49 33 255 515.2 1938000 135 0 7293000 
15-12a_SD_M3_03.tif 44.11 115.4 52.01 38 255 23.48 5092 115 0 19160 
15-12a_SD_M3_03.tif 43.58 91.86 31.42 39 192 23.48 4003 87 0 15070 
15-12a_SD_M3_03.tif 49.42 116 26.19 56 172 25.1 5732 111 0 21570 
15-12a_SD_M3_03.tif 36.14 113.9 23.83 52 182 21.05 4115 117 0 15490 
15-12a_SD_M3_03.tif 79.71 108.8 28.53 61 201 31.58 8676 106 0 32650 
15-12a_SD_M3_03.tif 60.58 117.2 44.97 47 254 27.53 7103 113 0 26730 
15-12a_SD_M3_03.tif 48.36 90.13 24.77 53 179 26.72 4358 85 0 16400 
15-12a_SD_M3_03.tif 58.19 117.9 34.01 58 182 29.15 6862 122 0 25820 
15-12a_SD_M3_03.tif 125.4 113.6 37.5 54 196 39.67 14240 112 0 53610 
15-12a_SD_M3_03.tif 87.15 86.76 25.7 36 159 33.2 7561 83 0 28460 
15-12a_SD_M3_03.tif 72.8 85.09 24.91 43 157 29.96 6195 77 0 23320 
