Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M2_01.tif,9.41E+01,1.07E+02,3.23E+01,5.70E+01,2.55E+02,3.64E+01,1.00E+04,1.02E+02,0.00E+00,3.78E+04
15-12a_SD_M2_01.tif,5.52E+03,1.30E+02,2.78E+01,4.70E+01,2.50E+02,3.40E+02,7.16E+05,1.29E+02,0.00E+00,2.69E+06
15-12a_SD_M2_01.tif,7.55E+01,1.13E+02,3.66E+01,6.30E+01,2.55E+02,3.16E+01,8.52E+03,1.05E+02,0.00E+00,3.21E+04
Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M2_04.tif,7.10E+03,1.25E+02,3.29E+01,3.10E+01,2.55E+02,3.68E+02,8.84E+05,1.23E+02,0.00E+00,3.33E+06
15-12a_SD_M2_04.tif,5.10E+01,1.01E+02,4.65E+01,4.60E+01,2.55E+02,2.59E+01,5.16E+03,8.90E+01,0.00E+00,1.94E+04
15-12a_SD_M2_04.tif,9.06E+01,9.04E+01,2.99E+01,4.10E+01,1.89E+02,3.40E+01,8.19E+03,8.40E+01,0.00E+00,3.08E+04
15-12a_SD_M2_04.tif,5.99E+03,1.29E+02,3.17E+01,3.40E+01,2.55E+02,3.78E+02,7.72E+05,1.27E+02,0.00E+00,2.91E+06
15-12a_SD_M2_04.tif,6.13E+03,1.12E+02,2.84E+01,3.80E+01,2.55E+02,3.35E+02,6.88E+05,1.11E+02,0.00E+00,2.59E+06
15-12a_SD_M2_04.tif,5.77E+01,8.51E+01,2.74E+01,3.80E+01,1.54E+02,2.75E+01,4.91E+03,8.40E+01,0.00E+00,1.85E+04
15-12a_SD_M2_04.tif,7.52E+03,1.20E+02,2.75E+01,3.40E+01,2.55E+02,4.76E+02,9.03E+05,1.20E+02,0.00E+00,3.40E+06
15-12a_SD_M2_04.tif,1.06E+02,1.04E+02,3.71E+01,4.10E+01,2.55E+02,3.73E+01,1.11E+04,9.20E+01,0.00E+00,4.16E+04
15-12a_SD_M2_04.tif,7.38E+03,1.22E+02,3.18E+01,3.10E+01,2.55E+02,3.78E+02,9.03E+05,1.23E+02,0.00E+00,3.40E+06
15-12a_SD_M2_04.tif,1.65E+02,9.84E+01,4.32E+01,3.20E+01,2.55E+02,4.62E+01,1.62E+04,8.60E+01,0.00E+00,6.10E+04
15-12a_SD_M2_04.tif,9.67E+01,1.06E+02,2.91E+01,4.40E+01,1.79E+02,3.48E+01,1.02E+04,1.07E+02,0.00E+00,3.85E+04
15-12a_SD_M2_04.tif,7.99E+03,1.29E+02,3.21E+01,3.20E+01,2.55E+02,3.91E+02,1.03E+06,1.27E+02,0.00E+00,3.87E+06
15-12a_SD_M2_04.tif,1.25E+02,1.17E+02,2.74E+01,5.10E+01,2.55E+02,3.97E+01,1.47E+04,1.17E+02,0.00E+00,5.53E+04
15-12a_SD_M2_04.tif,4.57E+01,8.89E+01,1.85E+01,5.30E+01,1.26E+02,2.43E+01,4.06E+03,8.80E+01,0.00E+00,1.53E+04
Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M2_05.tif,5.69E+03,1.26E+02,3.07E+01,3.50E+01,2.45E+02,3.70E+02,7.15E+05,1.26E+02,0.00E+00,2.69E+06
15-12a_SD_M2_05.tif,9.41E+01,8.64E+01,2.45E+01,4.10E+01,1.43E+02,3.64E+01,8.13E+03,8.50E+01,0.00E+00,3.06E+04
15-12a_SD_M2_05.tif,9.67E+01,1.01E+02,2.76E+01,4.70E+01,1.74E+02,3.56E+01,9.78E+03,1.00E+02,0.00E+00,3.68E+04
15-12a_SD_M2_05.tif,6.91E+01,9.19E+01,2.33E+01,4.60E+01,1.48E+02,3.08E+01,6.35E+03,8.90E+01,0.00E+00,2.39E+04
15-12a_SD_M2_05.tif,5.50E+03,1.25E+02,2.98E+01,3.00E+01,2.55E+02,3.44E+02,6.89E+05,1.25E+02,0.00E+00,2.59E+06
15-12a_SD_M2_05.tif,5.45E+03,1.17E+02,2.67E+01,3.80E+01,2.55E+02,3.36E+02,6.39E+05,1.17E+02,0.00E+00,2.41E+06
15-12a_SD_M2_05.tif,5.50E+01,9.46E+01,3.10E+01,4.80E+01,1.82E+02,2.59E+01,5.20E+03,9.10E+01,0.00E+00,1.96E+04
15-12a_SD_M2_05.tif,5.10E+01,9.07E+01,2.66E+01,5.10E+01,1.97E+02,2.59E+01,4.63E+03,8.60E+01,0.00E+00,1.74E+04
15-12a_SD_M2_05.tif,6.94E+03,1.21E+02,2.96E+01,3.50E+01,2.55E+02,3.68E+02,8.38E+05,1.20E+02,0.00E+00,3.16E+06
15-12a_SD_M2_05.tif,6.27E+01,9.11E+01,4.32E+01,4.20E+01,2.55E+02,2.83E+01,5.71E+03,8.10E+01,0.00E+00,2.15E+04
15-12a_SD_M2_05.tif,7.59E+03,1.30E+02,2.98E+01,3.90E+01,2.55E+02,4.57E+02,9.87E+05,1.29E+02,0.00E+00,3.71E+06
15-12a_SD_M2_05.tif,6.84E+03,1.36E+02,3.30E+01,3.90E+01,2.55E+02,3.96E+02,9.28E+05,1.34E+02,0.00E+00,3.49E+06
15-12a_SD_M2_05.tif,5.74E+01,8.07E+01,2.19E+01,4.20E+01,1.54E+02,2.67E+01,4.63E+03,7.40E+01,0.00E+00,1.74E+04
15-12a_SD_M2_05.tif,4.57E+01,8.44E+01,2.73E+01,4.90E+01,1.68E+02,2.51E+01,3.86E+03,7.40E+01,0.00E+00,1.45E+04
15-12a_SD_M2_05.tif,6.40E+03,1.39E+02,3.59E+01,3.90E+01,2.55E+02,3.85E+02,8.91E+05,1.35E+02,0.00E+00,3.35E+06
15-12a_SD_M2_05.tif,5.95E+01,9.71E+01,2.34E+01,5.50E+01,1.60E+02,2.75E+01,5.78E+03,9.40E+01,0.00E+00,2.18E+04
Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M3_03.tif,8.95E+03,1.29E+02,2.70E+01,3.70E+01,2.55E+02,4.39E+02,1.15E+06,1.27E+02,0.00E+00,4.33E+06
15-12a_SD_M3_03.tif,6.27E+01,1.03E+02,2.35E+01,5.60E+01,1.55E+02,2.83E+01,6.44E+03,1.01E+02,0.00E+00,2.42E+04
15-12a_SD_M3_03.tif,6.38E+01,1.01E+02,3.18E+01,4.90E+01,2.55E+02,3.00E+01,6.46E+03,9.70E+01,0.00E+00,2.43E+04
15-12a_SD_M3_03.tif,9.09E+01,1.11E+02,2.65E+01,5.10E+01,1.70E+02,3.64E+01,1.01E+04,1.13E+02,0.00E+00,3.80E+04
15-12a_SD_M3_03.tif,1.35E+02,9.04E+01,3.36E+01,3.70E+01,2.55E+02,4.86E+01,1.22E+04,8.80E+01,0.00E+00,4.60E+04
15-12a_SD_M3_03.tif,9.35E+01,9.98E+01,1.67E+01,5.30E+01,1.44E+02,3.97E+01,9.33E+03,1.00E+02,0.00E+00,3.51E+04
15-12a_SD_M3_03.tif,6.38E+01,9.83E+01,2.24E+01,4.80E+01,1.80E+02,3.24E+01,6.27E+03,9.60E+01,0.00E+00,2.36E+04
15-12a_SD_M3_03.tif,1.13E+04,1.31E+02,2.57E+01,3.10E+01,2.44E+02,4.57E+02,1.47E+06,1.30E+02,0.00E+00,5.54E+06
15-12a_SD_M3_03.tif,5.95E+01,1.05E+02,3.24E+01,5.50E+01,1.72E+02,2.75E+01,6.23E+03,9.80E+01,0.00E+00,2.34E+04
15-12a_SD_M3_03.tif,6.59E+01,1.07E+02,4.28E+01,5.00E+01,2.55E+02,2.92E+01,7.08E+03,9.80E+01,0.00E+00,2.67E+04
15-12a_SD_M3_03.tif,7.92E+01,7.33E+01,2.56E+01,3.40E+01,1.72E+02,3.16E+01,5.80E+03,6.70E+01,0.00E+00,2.18E+04
15-12a_SD_M3_03.tif,1.21E+02,1.09E+02,3.02E+01,5.40E+01,1.74E+02,4.05E+01,1.33E+04,1.14E+02,0.00E+00,4.99E+04
15-12a_SD_M3_03.tif,4.78E+01,1.14E+02,2.06E+01,5.70E+01,1.62E+02,2.51E+01,5.43E+03,1.18E+02,0.00E+00,2.05E+04
